id,name
1,Privatbank
2,oschad bank
6,otp bank
11,brolbuisnesbank
12,UPB
15,ukreximbank
16,Sberbank
17,KreditPromBank
18,Urk Buisness Bank
19,Nadra
20,Platinum bank
21,MTB bank 
23,Pivdenny
25,Fortuna bank
27,Express bank
35,Ukrgazbank
38,National investments
40,Chreschatyk
43,Bank credit Dnepr
51,UKRBuisness bank
53,Vseukrainsky bank for development
56,Zlatobank
57,Buisness bank
58,raifizen bank aval
62,Diamond bank
63,sense bank
65,Delta bank
68,Pivdencombank
70,BTA bank
73,finance initiative
76,Active bank 
77,Industrialbank
78,Kyivskaya rus 
80,Mega bank
81,vtb bank
84,Taskombank
85,Idea bank
97,Demark
103,Gorodskoy commerce bank
106,Finbank
110,Eurogasbank
115,Kambio bank
123,Universal Bank
129,urksocbank
135,forward bank
138,Imbeks bank
140,Misto bank
141,Terra bank
143,Procredit bank
147,finance and credit
148,pumb
149,Ukrinbank
151,credit agricole
153,FideComBank
154,Fidobank
155,praveks bank
156,VAB bank
157,Kredo bank
159,ukrsibbank
160,Forum Bank 
162,Akta bank
196,International investment bank
200,Bank National credit
209,Prominvestbank
229,Abank
273,Akvant bank
468,Kapital
472,Myhailovsky
